Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT1G01010.1	48	46	37	103	89	78
AT1G01020.1	0	9.24162	0	0	0	0
AT1G01020.2	93.6053	158.625	91.8523	132.476	143.647	145.896
AT1G01020.3	52.6036	50.3479	19.8795	35.3377	38.6407	48.6186
AT1G01020.4	0.0277002	4.6395e-5	0	7.22389e-7	0	0
AT1G01020.5	0	1.14039	0	0	0	0
AT1G01020.6	119.317	70.6454	34.2872	89.201	69.9058	142.581
AT1G01030.1	198	223	264.398	72	75.7934	88
AT1G01030.2	0	0	0	0	8.20662	0
AT1G01040.1	151.294	428.368	395.079	526.677	614.511	727.332
AT1G01040.2	567.454	500.632	276.218	903.052	714.776	688.388
at1g01046	6	4	1	14	9	19
AT1G01050.1	1372.71	1359.3	1148.7	1322.11	1221.43	1317.03
AT1G01050.2	0	0	0	7.56258	0	0
AT1G01060.1	8.35458e-6	78.4465	0.046062	1.12185	1.53138	1.28273e-7
AT1G01060.2	0	1.95571e-7	0	1.24274e-7	0	206.546
AT1G01060.3	0	0	0	0	0	7.46807
AT1G01060.4	661.58	595.499	1015.96	382.258	924.081	763.484
AT1G01060.5	0	0	0	0	0	0
AT1G01060.6	0	0	0	0	0	0
AT1G01060.7	44.7289	13.4872	12.0177	15.7741	65.1537	21.3942
AT1G01060.8	193.963	276.871	561.073	109.238	513.516	270.108
AT1G01070.1	21.9394	16.6875	16.2278	42.5156	26.9384	69.3956
AT1G01070.2	107.061	156.399	142.772	397.04	241.987	295.493
AT1G01080.1	1.00293e-4	0.308594	0.0121177	0.00195128	0	0
AT1G01080.2	1458.7	1455.65	1172.14	962.051	1078.7	1115.3
AT1G01080.3	427.3	404.044	394.848	309.947	322.295	255.699
AT1G01090.1	5905	5159	6101	3974	4289	4378.07
AT1G01100.1	2266.25	1780.58	2457.28	1333.1	1411.54	1526.29
AT1G01100.2	29.8872	43.6214	50.236	17.4121	23.3107	10.1825
AT1G01100.3	2996.11	3817.43	3295.04	2103.73	1776.74	2024.61
AT1G01100.4	92.8831	153.483	189.603	4.96941e-4	0.00595973	1.48081e-5
AT1G01110.1	51	74.8443	63.7411	135.61	49.1216	116.212
AT1G01110.2	0	15.1557	14.2589	14.3903	29.8784	43.7882
AT1G01120.1	1683	1628.49	1553	799.554	1089.34	811
AT1G01130.1	19.9498	23	32	30	34	35
AT1G01140.1	0	0	0	56.4283	12.2024	31.1275
AT1G01140.2	348.693	367.28	162.824	563.358	532.406	414.151
AT1G01140.3	507.307	643.72	693.176	1061.21	1110.39	901.722
AT1G01150.1	0	0	0	0	0	0
AT1G01150.2	2.00529	0	0	0	2	0
AT1G01150.3	0	5.00732	5.00403	9.00527	0	8.00504
AT1G01160.1	564.931	587.881	550.041	647.671	409.774	596.48
AT1G01160.2	14.4117	102.054	77.2634	142.051	258.617	97.7591
AT1G01170.1	825.612	925.031	838.059	826.544	719.986	841.643
AT1G01170.2	14.7431	16.6672	7.98152	15.8951	18.7009	15.8801
AT1G01180.1	192	188	214	277	347	324
at1g01183	0.5	0	0	0	0	0
AT1G01190.1	92.8567	144.072	128.647	54.6001	52.3118	31.4267
AT1G01190.2	85.1433	27.9277	96.3531	43.3999	12.6882	11.5733
AT1G01200.1	26	25	25	38	31	30
AT1G01210.1	203.143	190.7	208.698	151.282	123.18	162.906
AT1G01210.2	0	0	0	0	0	0
AT1G01210.3	23.1252	30.9307	16.574	18.6413	16.4827	18.4844
AT1G01220.1	0	0	0	0	0	0
AT1G01220.2	0.00213333	0	0	0	6.60836e-8	0
AT1G01220.3	0	0	0	0	0	0
AT1G01220.4	0	0	0	0	0	0
AT1G01220.5	10.283	0.263969	95.8342	273.987	191.087	88.1027
AT1G01220.6	195.047	137.852	93.9049	0.457972	133.945	122.973
AT1G01220.7	55.2595	254.989	1.94198	4.89375e-4	114.046	315.49
AT1G01220.8	356.964	268.681	309.706	379.18	255.125	236.295
AT1G01225.1	66	63	59	80	82	88
AT1G01230.1	368	363	359	509	490	583
AT1G01240.1	35.041	187.284	31.3528	33.9378	108.732	128.439
AT1G01240.2	0	0	0	0	0	0
AT1G01240.3	30.1774	32.455	32.285	48.099	63.0579	63.7522
AT1G01240.4	297.912	171.489	246.556	603.918	595.627	620.466
AT1G01240.5	66.8693	64.7718	29.8065	124.045	208.583	184.342
AT1G01250.1	54	20	59	56	69	57
AT1G01260.1	130.866	208.606	233.927	262.224	224.358	179.352
AT1G01260.2	129.093	36.165	1.41997e-7	64.8153	108.737	170.986
AT1G01260.3	19.0415	57.2285	71.0732	45.9608	38.9046	54.6616
AT1G01270.1	0	0	0	0	0	0
AT1G01280.1	0	1	1	0	0	0
AT1G01290.1	76.4865	83.8565	53.3384	111.893	97.7193	66.1641
AT1G01290.2	169.514	234.143	121.662	191.107	223.281	211.836
AT1G01300.1	1579	1705	2002	3174	2208	2351
AT1G01305.1	0	0	0	0	0	0
AT1G01310.1	3	0	0	3	3	1
AT1G01320.1	574.428	36.3096	500.105	994.964	784.773	1267.14
AT1G01320.2	28.8417	35.4567	11.6565	4.59954	0.35352	127.552
AT1G01320.3	8943.15	11530.5	9178.6	8262.94	8213.32	7439.31
AT1G01335.1	0	0	0	0	0	0
AT1G01340.1	10.6773	0	28.2682	109.241	11.1778	150.756
AT1G01340.2	46.3227	52	25.7318	287.759	370.306	381.244
AT1G01350.1	237.936	268.704	250.593	333.328	356.97	358.287
AT1G01355.1	0	0	0	0	0	0
AT1G01355.2	0	0	1	5.28601	0	0
AT1G01355.3	3	3	0	2.71399	8	2
AT1G01360.1	171.277	178	147.307	349	345.287	333
AT1G01370.1	10.7953	6.85531	0	0.694741	0	0
AT1G01370.2	19.1809	31.6231	63.6426	20.1901	26.4934	40.9517
AT1G01370.3	0	0	2.73074	7.67291	8.55102	0
AT1G01370.4	106.024	91.5216	65.6267	94.4423	78.9556	93.0483
AT1G01380.1	14.3744	17.7683	23	24.2089	12.1713	23.9772
AT1G01380.2	5.62557	3.23173	0	4.55792	3.8287	10.0228
AT1G01380.3	0	0	0	1.23316	0	0
AT1G01390.1	112	112	182	108.044	128.507	132.067
AT1G01390.2	0	0	0	0	0	0
AT1G01400.1	4	7	4	16	11	10
AT1G01410.1	0	0	0	0	0	0
AT1G01420.1	170.999	211.026	195.127	229.107	257.85	196.975
AT1G01420.2	27.0007	26.1295	26.8726	32.893	53.9439	34.2955
AT1G01430.1	1193	1072	1098	760	958	869
AT1G01440.1	405	405	398	585	685	632
AT1G01448.1	195.186	257.52	116.362	308.826	328.67	268.391
AT1G01448.2	9.42933	32.4292	15.8476	29.7289	7.27479	28.3663
AT1G01448.3	15.8885	12.3586	0	15.9705	8.0784	22.9517
AT1G01450.1	41.4964	22.6927	25.7908	20.4743	20.9769	16.2907
AT1G01453.1	0	0	0	0	3.19967	0
AT1G01453.2	0	0	0	4	0.800328	0
AT1G01460.1	0	0	1	0	0	1
AT1G01470.1	808	771	768	1654	1318	1183
AT1G01480.1	0	0	0	12.1954	4	0
AT1G01480.2	6	7	2	0.804578	0	14
