UniqueCount	AmbigCount
48	0
0	249
0	243
0	257
0	257
0	249
2	220
19	179
0	179
5	727
0	716
6	0
453	920
0	920
0	889
0	886
0	776
8	883
0	773
0	764
4	886
0	770
4	124
1	124
0	1853
3	1723
30	1812
5905	0
1	5061
9	5392
0	4797
2	5231
0	51
0	51
1683	0
19	1
0	854
2	830
0	840
0	5
0	5
0	5
16	633
0	633
112	736
2	736
192	0
0	1
6	160
12	160
26	0
0	231
0	183
13	178
0	644
0	661
0	650
0	644
0	655
0	655
1	587
0	593
66	0
368	0
3	398
0	405
0	426
0	402
0	424
54	0
6	272
0	268
1	272
0	0
0	0
22	218
6	218
1579	0
0	0
3	0
0	9512
0	9502
0	9547
0	0
0	55
2	55
193	51
0	3
0	2
0	3
171	1
0	131
5	129
0	94
0	128
1	18
1	18
0	15
0	112
0	113
4	0
0	0
0	189
9	189
1193	0
405	0
30	225
1	225
3	190
3	141
0	0
0	0
0	0
808	0
0	6
0	6
85	1567
0	1569
17	1526
0	1495
674	0
619	0
0	70
0	67
0	70
0	67
0	65
0	0
9	1420
67	1420
28	2024
29	2024
0	26
0	27
0	27
0	26
0	31
2	31
0	49
0	49
9	0
100	2
1152	1
163	5344
0	5344
872	0
0	10
0	10
1	508
0	499
1	500
0	508
0	9
0	9
1	38
0	38
0	29
2	0
0	71
1	71
2	71
9	0
0	35
0	34
1	34
0	32
0	29
604	0
11	36
0	36
509	0
58	0
214	4
0	106
0	120
0	119
0	105
1	102
2	6
0	7
2	47
5	49
0	47
0	46
441	0
244	0
19	3674
5	3674
64	874
1	874
10	0
858	0
1	458
22	463
1	463
6	80
34	236
0	199
0	176
0	185
0	94
0	1
0	32
0	32
0	32
0	31
0	1
66	105
2	955
0	1126
0	1013
1	975
0	1031
3	243
0	261
5	255
0	258
2	256
286	0
165	0
0	273
0	266
0	269
0	231
1671	0
1184	0
0	0
763	0
321	1
0	205
0	173
0	204
0	202
0	202
0	166
0	498
1	485
4	462
3	0
0	0
120	0
152	0
0	48
1	48
0	4
1	0
1	1882
0	1888
0	1882
30	606
10	589
40	606
33	540
3	524
0	551
865	0
28	1202
8	1219
0	1157
1037	0
2009	0
0	410
0	270
0	425
0	423
3350	0
34	227
8	227
788	0
169	0
1	38
0	38
0	3310
0	3333
2	2823
10	3330
25	3180
0	0
47	0
7	0
0	0
1	191
6	191
29	581
0	581
61	1606
9	1606
196	0
264	12
1273	17
0	0
0	0
0	0
350	0
46	0
4	51
0	51
34	0
0	157
0	157
0	157
131	0
56	0
63	0
3	27
1	27
10	0
1	313
1	314
0	314
22	81
0	49
0	28
0	4
1	7
0	0
74	0
3	5
0	5
1265	0
0	0
4	0
101	6306
9	6306
0	0
0	4
0	4
0	4
0	5
0	5
0	0
0	0
5923	1
1	0
0	0
0	0
0	0
0	0
0	0
0	43
0	39
0	22
12	3
3	9
0	9
205	0
1	45
0	45
114	0
0	14
0	19
0	19
0	12
0	19
0	19
0	15
211	0
2	221
0	221
32	0
77	171
0	171
67	302
7	302
1182	0
178	0
22	144
0	144
0	1
4	0
14519	2
0	0
145	0
9	0
1	0
233	0
784	0
2	0
46	1196
0	1262
1	881
0	1298
0	1289
2	139
0	141
4	138
0	136
0	144
12	113
0	113
0	66
562	0
0	322
0	320
0	322
0	321
0	321
0	315
80	1056
0	1056
19	0
50	1208
4	1208
161	117
145	533
0	533
0	7
0	9
0	9
0	7
0	92
0	88
0	89
0	77
0	92
0	17
1	0
0	167
0	172
0	182
0	192
0	187
0	177
2	0
72	0
0	0
0	0
0	279
0	286
0	286
0	289
1	281
0	286
568	0
1	22
0	21
0	21
20	0
13	253
6	253
0	841
1	805
14	815
3	0
9	157
6	157
0	1125
0	1132
0	1121
0	1118
0	9
0	9
0	9
1	547
1	546
0	547
0	390
17	390
29	34
0	0
1	0
278	0
0	5
2	5
47363	53
568	0
442	0
0	1395
0	1351
10	1318
0	1332
9	0
7	0
0	50
0	55
0	53
0	48
0	48
0	45
2	183
0	183
34	0
6	121
3	121
868	164
378	164
1	0
0	589
0	571
0	499
2	551
211	0
89	0
9	508
3	508
0	508
1	396
0	407
0	309
1	400
0	290
0	285
0	77
2	1738
17	1738
6	0
0	0
475	0
50	0
640	0
124	0
0	257
0	257
16	559
12	559
867	0
0	0
0	0
28	582
11	582
0	1174
0	119
18	410
6	410
431	1
1	2
0	2
0	126
0	126
0	123
0	87
0	80
2	87
0	87
6033	1
0	3
85	112
2	3
0	0
39	0
0	1
74	172
0	172
403	6
31	0
0	46
9	60
0	70
0	43
0	42
0	47
0	43
0	39
0	32
227	0
0	0
249	0
12750	0
73	543
14	543
0	18
0	13
0	13
0	13
0	17
0	18
0	17
0	14
0	18
0	17
0	17
0	14
0	14
290	5689
8	5689
0	0
27	0
3	5
3	5
0	0
7459	7
27	269
3	269
0	0
2	14
0	14
0	0
0	0
114	4
19	484
4	484
0	0
0	0
85	2
92	2
0	61
0	56
0	59
2	58
1	60
0	55
5	211
1	274
0	267
0	0
9	0
0	0
72	0
0	118
11	118
1	14
0	14
0	23
4	22
0	18
0	1104
1	1063
1	1078
2309	0
0	0
0	0
1308	0
1	17
0	17
0	17
0	17
21	765
0	765
0	22
0	23
0	23
1115	1
0	3
184	121
135	0
0	302
7	301
0	300
0	301
1	294
0	282
0	220
344	164
0	9
0	12
0	12
0	6
0	0
3	0
87	0
0	48
0	0
245	0
0	0
43	1
163	0
25	0
0	23
4	157
0	157
1	55
1	0
19	254
0	58
2	0
3	0
1003	202
0	0
2	1
1	48
0	48
0	43
2	8
0	1
0	0
0	52
78	0
2	1
0	105
0	1799
25	1384
49	1757
0	1743
2	1384
2	1
0	0
21	0
3	0
1	0
24	20
0	0
0	0
0	20
105	0
26	102
0	1404
0	1371
0	1377
1	1
0	0
59	111
0	111
2	3
0	0
28	1585
13	1585
0	0
0	0
5	0
3	0
1	0
2	188
0	188
0	19
0	0
8	2038
0	2038
2	0
0	0
6	0
4	1103
1	0
383	0
1	5
0	2
14	317
9	313
0	300
0	0
0	0
956	0
0	0
0	7
87	155
2	5
0	9
17	288
2	120
0	164
3	1
0	466
1	466
0	0
8	142
660	1
0	0
0	0
308	0
0	3
16	0
1151	5652
1	5652
22	0
13	0
0	237
3	237
0	0
0	0
153	161
0	105
0	0
1	131
2	1
0	942
1	932
0	932
0	936
0	941
1	804
15	0
0	0
5	143
0	141
1	1
0	1
2	0
0	0
9	0
0	0
0	0
376	3
0	227
2	0
1269	1
6	149
11	4
75	0
0	4
7	11
1	0
0	0
0	0
0	2
0	2
0	0
0	0
242	0
0	0
0	0
9	1863
1	1863
0	0
0	0
9976	0
0	0
0	0
3910	0
0	0
79	0
1	1
47	1647
0	1647
0	1647
5	271
2	0
889	3
0	0
0	2
0	2
0	0
0	0
0	0
1	36
0	49
14	7
0	0
10	4
12	28
1712	1
0	0
0	380
0	5
0	5
0	4
0	4
0	4
0	5
0	4
0	4
0	4
0	6
0	4
0	2
0	2
0	1
0	2
0	1244
0	2
31	1043
0	1043
0	74
0	0
664	0
0	0
0	0
2077	0
0	1
0	68
134	0
0	0
2	514
58	514
87	0
0	0
0	0
0	0
3	0
3	91
0	91
0	0
0	0
4	0
0	0
19	0
9	347
2	347
0	0
0	0
8	0
0	0
0	0
2	0
501	0
0	0
3	102
543	104
65	0
93	935
18	935
0	2
0	2
0	1
0	94
3	63
0	63
0	0
0	1
37	0
0	0
0	0
0	0
0	0
2551	0
0	0
0	0
1118	0
0	0
1	0
0	29
0	29
0	19
0	0
0	14
396	2
0	4
0	0
0	0
2	0
0	152
0	151
1	142
0	150
0	89
0	0
0	1
0	0
209	675
0	675
2	675
1	675
0	0
0	87
0	105
0	0
0	8
240	23
0	39
4	0
675	0
1	0
0	0
387	766
0	0
8	0
948	766
0	4
0	2
935	1
0	0
2	0
6011	5001
0	38
3	0
0	274
0	224
2	247
0	401
4	193
12	0
0	0
62	882
1	882
2	3
0	10
626	0
3	0
0	0
0	508
10	508
0	27
8	0
11	0
1	45
0	2
0	0
4	0
0	0
0	0
196	1
0	0
408	0
0	0
0	35
32	0
0	0
3	0
0	93
1	85
1	90
0	2
0	34
0	0
565	2044
0	0
0	146
0	165
0	2204
0	146
0	0
0	371
1	368
12	371
0	35
0	0
3	354
1	354
0	0
0	0
11	488
1	493
12	493
8	4
0	410
185	0
1	0
30	459
15	459
0	0
0	210
0	210
0	209
0	188
0	189
0	209
0	0
1	0
5	31
1	33
3	33
0	0
0	0
0	0
2427	1
0	0
1	0
30	0
7	0
0	0
2	204
6	204
0	41
1	1
0	0
0	0
0	0
2	0
2	151
0	0
213	0
0	51
269	0
47	0
0	0
317	0
0	0
0	0
0	0
4	0
0	0
0	106
0	105
0	378
0	0
0	0
11	0
1	0
2	0
0	0
0	0
0	233
0	233
3	0
0	0
0	0
0	0
0	0
1903	0
4	0
0	1
663	0
1	0
5	158
0	158
3	38
4	342
8	342
0	0
0	0
46	484
0	484
0	475
1	96
0	56
15115	0
0	0
0	0
0	1212
0	1237
0	927
2	707
10	698
0	1197
0	901
4	12
282	0
460	4244
127	0
60	674
0	0
3	0
0	0
0	1
0	358
0	345
1	344
0	278
1	370
3	351
0	369
0	353
0	351
0	351
0	337
0	335
0	0
0	0
0	3
0	6
0	4
0	3
0	1059
0	54
5	0
0	0
0	11
524	0
0	85
14	17
0	0
0	0
0	3
0	13
0	0
0	0
0	0
17	0
6	56
1	56
0	0
0	0
9	0
0	0
0	0
1	188
1	188
0	188
0	188
0	189
0	189
0	188
0	187
2	187
0	1
0	7
2	0
0	0
0	265
0	60
26	0
1	0
0	122
396	0
0	25
0	0
3	167
7	172
0	174
2	0
0	0
45	0
0	0
0	0
2	561
4	562
0	557
0	0
43	360
5	360
0	0
0	0
2	0
0	14
0	14
0	0
11	317
0	317
0	0
0	1
0	49
4	49
0	3
0	3
423	0
0	3
51	0
2	0
0	0
0	3
0	3
0	88
60	277
0	277
2	0
46	1
9	304
14	304
0	0
0	0
0	0
0	0
12	0
0	13
0	0
47	805
0	805
0	0
2	0
5	0
604	0
0	2141
2	0
0	12
0	0
0	0
14	204
13	204
0	0
0	0
0	22
0	20
3	15
0	12
0	28
5	62
0	1020
0	1030
0	1030
0	6
0	0
0	345
0	339
1	342
0	342
7	0
0	0
0	0
0	0
0	0
0	0
0	582
6	583
2	582
0	0
0	0
10	119
0	120
0	120
0	0
0	0
0	8
0	8
0	0
0	0
0	0
18	132
0	132
0	0
0	0
1	345
0	347
0	335
0	0
0	0
39	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
10	165
2	165
2	164
0	0
87	3
28	3
0	0
3	158
113	0
0	0
0	0
0	1
0	1
3	14
0	1
0	115
0	114
0	110
0	110
0	97
0	94
0	106
0	107
0	93
0	102
0	98
0	109
0	99
0	97
0	0
0	0
245	41
0	1
0	1
4	51
0	10
1	81
0	0
0	0
0	0
20	121
0	116
0	39
0	0
0	28
0	28
6	0
0	224
0	6
14	0
10	0
8	0
53	0
1	1
0	75
0	70
1	65
0	75
1	70
0	75
0	42
0	1
0	241
1	259
0	270
0	260
0	0
0	0
0	0
0	0
446	0
0	0
0	57
28	57
0	0
0	0
0	50
0	49
6	49
0	48
0	0
0	0
0	524
0	523
0	527
0	528
11	0
122	282
0	55
247	11
0	1
0	0
330	14170
1	14170
0	5
0	0
1	220
12	220
0	96
0	0
1	0
0	351
0	351
0	330
0	320
0	345
0	276
0	289
0	344
0	323
0	337
0	333
0	358
0	104
0	0
0	0
0	0
0	0
24	936
5	936
0	0
4	0
0	0
4	358
12	358
0	0
2	0
493	0
2	5
0	5
0	0
0	1481
0	0
1	0
0	0
0	1073
10	1068
12	1054
23	1058
0	10
0	0
0	88
0	86
0	87
0	87
0	87
0	0
0	0
0	873
0	870
0	868
0	868
0	0
0	0
3	57
11	57
0	28
6	0
0	0
0	0
2	0
0	0
4	0
2	0
2	980
0	980
0	24
0	0
175	0
0	0
5	0
6	0
1	0
0	0
0	2
55	0
0	0
625	6253
19	6253
0	0
0	623
0	0
86	0
0	0
0	0
13	265
4	265
0	0
0	0
390	0
0	0
11	222
2	222
5	0
4	0
11	2
0	0
0	0
52	0
0	0
0	444
1	430
0	358
0	0
0	0
0	2
0	0
0	0
8	357
0	357
1	0
0	0
0	0
32	0
99	0
0	0
3	5
0	3
14	686
11	686
0	1
0	0
39	0
0	0
0	8
0	8
3	9
0	9
163	0
0	0
0	2933
0	2363
1	2912
0	2870
4	2911
0	0
0	664
2	664
1	0
4	3
16	387
1	387
0	20
0	1
6	1504
4	1511
3	1495
0	0
139	86
0	1174
8	1174
2	1174
0	1153
0	31
0	21
615	3
0	30
0	21
22	55
0	55
0	129
0	18
8	50
0	14
10	80
0	29
0	25
0	13
151	0
7	0
3	21
0	0
4	126
0	10
1021	265
0	0
0	0
0	0
0	0
3	14
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
13	13
0	0
0	1
0	672
0	672
0	0
0	0
0	0
198	0
0	0
0	0
105	822
0	822
0	0
0	37
712	9
0	0
0	0
0	1978
11	1890
1	1958
0	0
0	0
4	11
0	11
0	48
0	0
28	3249
3	3250
1	3247
0	0
0	0
31	0
0	1
0	1
27	87
0	10
3	1
1772	45
23	46
0	5
1	486
0	491
0	459
0	438
15	0
0	15
0	0
0	0
1	0
0	164
23	164
0	0
1	0
3	248
1	231
34	229
3	187
0	0
479	0
0	0
5	370
23	370
0	0
57	0
0	0
0	0
0	1002
0	0
19	0
7	1002
0	0
12	0
463	0
4	6
0	0
271	3
0	0
75	1323
69	1326
20	345
5	0
2	40
0	40
0	40
0	3
0	3
107	0
0	0
0	2
0	0
0	0
0	1
0	0
0	0
0	52
1	52
0	0
0	0
73	167
0	169
0	166
0	167
0	163
1	163
0	158
0	161
3	165
0	0
0	0
65	1480
6	1480
0	1414
0	297
215	16
0	297
0	1246
160	1223
0	0
0	0
75	1
0	0
0	0
62	1028
0	1028
0	0
0	2
2594	88253
8	88253
0	0
3	0
1640	0
5	0
0	0
37	784
3	786
6	786
0	0
0	0
0	94
0	117
0	116
0	106
0	98
0	119
0	118
0	107
0	106
0	99
0	111
0	119
0	117
0	118
0	112
0	116
0	107
0	106
0	99
0	0
6	114
0	388
0	401
2	183
0	0
0	0
390	0
0	0
0	0
81	18
0	0
0	0
0	19
0	1
0	1
5	0
0	0
1241	1244
0	124
9	124
0	123
2	0
0	0
2	224
0	224
0	0
0	38
14	203
4	260
0	0
10	172
0	121
1	0
0	0
1	902
14	859
6	898
3	891
0	0
0	0
683	0
8	0
289	0
67	92
2	92
0	0
0	0
0	1
0	0
0	0
214	0
0	0
0	0
0	1
0	0
0	708
1	686
2	624
1	623
0	0
692	1
1	0
0	0
74	0
0	0
0	0
0	0
0	0
0	1
0	0
1	0
0	0
0	3
0	3
0	1
5278	0
0	1
0	1
0	237
0	271
0	221
5	205
0	248
0	259
15	0
0	0
0	0
0	0
17	0
16	0
3	0
0	0
0	0
0	0
0	0
163	0
0	0
0	0
80	2455
3	2454
1	2371
0	0
0	118
110	68
0	0
0	0
0	0
469	0
376	0
0	11
4	11
0	0
0	3
1	3
0	3
0	3
508	0
1750	0
138	0
0	0
2333	41
0	0
0	41
0	48
0	37
2	39
1	38
0	27
0	25
0	0
0	0
2	52
0	52
0	0
245	0
0	3
2974	2
1	0
0	0
0	52
0	52
0	0
14	0
0	0
38	2
5	193
4	155
0	195
0	157
0	155
0	153
0	21
0	7
1	7
0	0
2689	1
0	0
58	0
0	0
0	0
0	0
2	411
124	411
657	0
232	0
595	0
0	0
0	0
358	0
1	0
0	0
1222	0
0	0
0	0
28	0
0	0
0	0
0	16
0	16
0	0
0	0
82	2161
0	2158
6	2141
52	2035
0	0
1	0
27	0
3	0
0	0
28	110
6	121
12	123
0	0
1072	2
1	0
0	0
599	15610
11	15551
52	14384
1	15601
221	0
0	0
0	10
0	10
1	0
0	0
0	0
0	0
0	0
3	365
5	380
0	395
0	400
0	395
0	400
0	0
0	0
1633	3
7	0
504	1
1	0
0	123
8	123
0	0
0	86
3	83
1	86
0	93
0	91
0	0
0	0
12	0
1	0
15	0
0	0
2	0
35	510
11	510
1	0
9	0
0	1
0	1
367	328
25	328
0	0
134	1
0	0
7	13
0	0
0	0
0	13
0	0
7	627
0	627
1	0
0	0
7	253
0	679
1	673
0	600
0	0
2	70
0	0
28	70
0	0
0	0
0	3
0	0
0	0
668	163
0	28
3	0
0	145
1	152
0	160
1	138
0	0
0	0
600	0
0	0
0	0
0	0
0	0
3	12
0	0
0	0
0	0
0	0
0	9
0	49
5	288
0	298
0	287
2	298
0	288
0	0
0	1
0	0
0	2
7136	4459
0	0
0	0
0	3741
1	151
75	749
215	60
0	4
103	0
1	0
0	37
0	37
0	36
0	36
0	0
0	0
281	2
0	0
2	0
22	666
10	664
6	663
0	0
0	1
0	872
0	867
2	827
0	750
8	1
0	0
17	731
0	617
0	10
0	27
15	871
1	871
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	11
2	2
32	1197
23	1133
7	1138
