UniqueCount	AmbigCount
93	0
0	155
0	155
0	152
0	139
0	142
0	141
0	40
0	40
4	149
0	129
0	0
30	76
0	76
0	31
0	31
0	9
0	31
0	31
0	31
1	31
0	7
1	3
0	3
0	315
0	312
1	313
904	0
1	558
1	563
0	442
0	560
0	2
0	2
258	0
6	0
0	224
0	210
0	224
0	0
0	0
0	0
2	362
0	363
13	38
0	38
97	0
0	0
0	5
0	5
0	0
0	229
0	176
3	234
0	65
0	64
0	65
0	65
0	64
0	64
0	64
0	63
11	0
126	0
0	59
0	59
0	60
0	56
0	59
3	0
0	90
1	89
0	90
0	0
0	0
0	35
0	35
407	0
0	0
0	0
0	1632
0	1632
0	1633
0	0
0	154
5	154
50	34
0	0
0	0
0	0
19	1
0	1
0	1
4	1
0	1
0	5
0	5
0	5
0	28
0	28
0	0
0	0
0	104
4	105
194	0
101	0
29	61
0	61
0	38
1	27
0	3
0	3
0	0
823	1
81	77
0	77
16	355
0	355
0	346
1	346
297	0
152	0
0	1
0	1
0	1
0	1
0	1
0	0
1	145
2	145
5	1826
15	1826
0	133
0	139
0	133
0	139
0	1
2	1
0	1
1	1
4	1
6	5
563	0
15	533
0	533
173	0
0	26
0	26
18	461
0	456
2	456
0	461
0	18
2	18
0	17
0	17
0	11
51	0
0	5
0	4
0	3
0	0
0	4
0	4
0	4
0	4
0	2
165	0
0	4
0	4
374	0
29	0
182	0
0	12
0	14
0	14
0	12
0	12
1	3
0	4
0	9
0	9
0	9
0	9
82	1
47	1
1	233
0	233
5	91
0	91
5	0
366	0
0	21
2	21
0	21
2	2
5	222
0	224
0	224
0	222
0	219
0	0
0	1
0	1
0	1
0	0
0	0
28	14
0	319
0	333
0	329
0	320
0	244
0	33
0	38
0	38
0	38
0	38
47	0
43	0
0	43
0	43
0	43
0	42
402	0
51	0
0	0
408	0
173	0
0	28
0	24
0	28
0	28
2	27
0	23
0	254
2	251
0	249
3	2
0	0
17	0
31	0
2	3
0	3
0	0
0	0
0	447
0	461
0	460
15	431
1	423
6	431
2	87
0	88
0	88
88	0
14	2276
10	2285
0	2264
174	0
532	0
0	39
0	40
0	44
0	43
260	0
7	58
0	58
1179	0
7	0
0	3
0	3
0	691
0	707
0	704
0	699
2	583
0	0
21	5
16	0
0	4
3	47
0	47
14	460
0	460
1	33
0	33
30	0
64	10
197	10
0	6
0	6
0	0
117	0
38	0
0	1
0	1
0	0
0	498
0	499
0	499
16	0
6	0
221	0
1	152
0	152
43	0
2	46
4	46
0	46
0	4
0	28
0	21
4	14
2	13
88	0
375	0
0	3
0	3
780	0
0	0
1	1
25	8052
5	8052
0	0
0	13
0	13
0	13
0	3
0	3
1	0
0	0
733	0
2	1
1	1
0	2
0	2
0	0
0	0
0	193
0	193
0	168
12	4
0	0
0	0
8	0
0	25
0	25
69	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
251	0
0	8
0	8
4	0
1	64
0	64
0	160
0	160
